CompanyName,Name,Legal
SA Vägmaskiner AB (SAVAB),SA Vägmaskiner AB (SAVAB),
Höst Open,Höst Open,
People & Projects Aps,People & Projects,Aps
COMPANIET AS,COMPANIET,AS
NWP Planungsgesellschaft mbH,NWP Planungsgesellschaft,mbH
JMCP HOLDING ApS,JMCP HOLDING,ApS
Simon Barrit Holding ApS,Simon Barrit Holding,ApS
Norsgaard 2022 ApS,Norsgaard 2022,ApS
Olsby Kapitalförvaltning AB,Olsby Kapitalförvaltning,AB
SRVDS HOLDING ApS,SRVDS HOLDING,ApS
AUTOMEDON Aktiebolag,AUTOMEDON,Aktiebolag
LANGESKJÆRAN AS,LANGESKJÆRAN,AS
ABCJ HOLDING ApS,ABCJ HOLDING,ApS
Complutum Group ApS,Complutum Group,ApS
Andelsboligforeningen Fuglsangparken II,Andelsboligforeningen Fuglsangparken II,
SGAT Holding ApS,SGAT Holding,ApS
OC POWERHOUR AS,OC POWERHOUR,AS
VÅRTEGN AS,VÅRTEGN,AS
POCULUM PLENUM ApS,POCULUM PLENUM,ApS
MØRCH INTERNATIONAL FASHION V/LOTTE MØRCH OLESEN,MØRCH INTERNATIONAL FASHION V/LOTTE MØRCH OLESEN,
VESTER AUTO A/S,VESTER AUTO A/S,
FINGERFOOD.NO AS,FINGERFOOD.NO,AS
GREEN WATER SYSTEMS ApS,GREEN WATER SYSTEMS,ApS
LGE HOLDING ApS,LGE HOLDING,ApS
KØRETEKNIKKEN ApS,KØRETEKNIKKEN,ApS
MEDWARE ApS,MEDWARE,ApS
MMRA Holding ApS,MMRA Holding,ApS
CONSUL SECURITY AS,CONSUL SECURITY,AS
Merest x Gry Group ApS,Merest x Gry Group,ApS
Torshälla Metallfabrik AB,Torshälla Metallfabrik,AB
I.A HOLDING AS,I.A HOLDING,AS
MIMAR HOLDING AS,MIMAR HOLDING,AS
A OG S HOLDING ApS,A OG S HOLDING,ApS
Wilson Konsult AB,Wilson Konsult,AB
VEJLE BYG & MONTAGE ApS,VEJLE BYG & MONTAGE,ApS
SVEND BONDE ApS,SVEND BONDE,ApS
BJØRSETH ELEKTRO AS,BJØRSETH ELEKTRO,AS
TOM JOHANSEN HOLDING AS,TOM JOHANSEN HOLDING,AS
JJAA HOLDING ApS,JJAA HOLDING,ApS
Thomas Bisgaard Holding ApS,Thomas Bisgaard Holding,ApS
SMC Invest 1 AB,SMC Invest 1,AB
JONGDAL AS,JONGDAL,AS
MEALS AS,MEALS,AS
Angelverein Stadland e.V.,Angelverein Stadland e.V.,
WAAGE HOLDING AS,WAAGE HOLDING,AS
AVISCENNA LIMITED,AVISCENNA,LIMITED
Upright Capital ApS,Upright Capital,ApS
CAPA HOLDING ApS,CAPA HOLDING,ApS
OTRY AS,OTRY,AS
Boomer Holding AB,Boomer Holding,AB
ALBACORE FISKERI AS,ALBACORE FISKERI,AS
FOTOLAND GEILO AS,FOTOLAND GEILO,AS
4T Ventures UG,4T Ventures,UG
Kulturbro-Aalborg,Kulturbro-Aalborg,
Brandsbjerg Vandværk v/A. Nielsen,Brandsbjerg Vandværk v/A. Nielsen,
Sequoia AB,Sequoia,AB
Storvorde Sejlflod Boldklub,Storvorde Sejlflod Boldklub,
bedus Consulting GmbH,bedus Consulting,GmbH
REVISIONSFIRMAET KURT ASTRUP ApS,REVISIONSFIRMAET KURT ASTRUP,ApS
SRC HOLDING ApS,SRC HOLDING,ApS
ANLIN 490 HOLDING AS,ANLIN 490 HOLDING,AS
AndR AB,AndR,AB
EDC POUL ERIK BECH HOLDING A/S,EDC POUL ERIK BECH HOLDING A/S,
ERE INVEST AS,ERE INVEST,AS
DYRLÆGE AC HOLDING ApS,DYRLÆGE AC HOLDING,ApS
GRØNHAUGEN AS,GRØNHAUGEN,AS
PEQUOD AS,PEQUOD,AS
WU MEDICAL LIMITED,WU MEDICAL,LIMITED
Banner Family Holding ApS,Banner Family Holding,ApS
KRAS HOLDING ApS,KRAS HOLDING,ApS
EME 463 HOLDING AS,EME 463 HOLDING,AS
ÅRDAL AQUA AS,ÅRDAL AQUA,AS
Kapisi AB,Kapisi,AB
Ekerödsrasten Aktiebolag,Ekerödsrasten,Aktiebolag
MARJA AS,MARJA,AS
HM INVESTMENT ApS,HM INVESTMENT,ApS
RASLO INVEST ApS,RASLO INVEST,ApS
RED DOT HOLDING ApS,RED DOT HOLDING,ApS
Make Your Move Fastigheter AB,Make Your Move Fastigheter,AB
Camion Holding ApS,Camion Holding,ApS
EK REGNSKAP AS,EK REGNSKAP,AS
Hawthorn Holding ApS,Hawthorn Holding,ApS
MARLON HOLDING AS,MARLON HOLDING,AS
Salvin Sis AB,Salvin Sis,AB
ROMARK PROPERTIES ApS,ROMARK PROPERTIES,ApS
INTELLIGENTI LIMITED,INTELLIGENTI,LIMITED
Arrild Technology Holding ApS,Arrild Technology Holding,ApS
ROTABIT LIMITED,ROTABIT,LIMITED
OVNEN INDUSTRIER AS,OVNEN INDUSTRIER,AS
BARCA HOLDING AS,BARCA HOLDING,AS
Goergen Kommunikation GmbH,Goergen Kommunikation,GmbH
P. HØJLUND HOLDING ApS,P. HØJLUND HOLDING,ApS
Inkam AB,Inkam,AB
Fritte Holding ApS,Fritte Holding,ApS
JJJJ-INVEST AS,JJJJ-INVEST,AS
Connect Consult ApS,Connect Consult,ApS
REVALUE NATURE LTD,REVALUE NATURE,LTD
JG RØNNINGEN INVEST AS,JG RØNNINGEN INVEST,AS
KAISA HOLDING AS,KAISA HOLDING,AS
Steffen Skødt Pedersen ApS,Steffen Skødt Pedersen,ApS
ZUKI2000 AS,ZUKI2000,AS
PEHAM 486 HOLDING AS,PEHAM 486 HOLDING,AS
GUSTAVSEN HOLDING ApS,GUSTAVSEN HOLDING,ApS
TJH 085 HOLDING AS,TJH 085 HOLDING,AS
Tärntank Ship Management AB,Tärntank Ship Management,AB
auctito GmbH,auctito,GmbH
CONCURSO AS,CONCURSO,AS
TYRAKS HOLDING AS,TYRAKS HOLDING,AS
Camindu GmbH,Camindu,GmbH
Nordstrands Elektriska i Stockholm AB,Nordstrands Elektriska i Stockholm,AB
Pleno AB,Pleno,AB
Klavs Esbjerg Holding ApS,Klavs Esbjerg Holding,ApS
5 LIGHTS PRIVATE LIMITED,5 LIGHTS,PRIVATE LIMITED
DIGITAL FINANS A/S,DIGITAL FINANS A/S,
MDC FINANS ApS,MDC FINANS,ApS
Bungum IVF Lab Holding Aps,Bungum IVF Lab Holding,Aps
Bov Aftenskole,Bov Aftenskole,
EJL Invest ApS,EJL Invest,ApS
HONEYBROOK CAPITAL LTD,HONEYBROOK CAPITAL,LTD
HJM Holding ApS,HJM Holding,ApS
LONGVA CONSULTING AS,LONGVA CONSULTING,AS
Juul III ApS,Juul III,ApS
AYO AS,AYO,AS
TRABEA GmbH Training - Beratung- Ausbildung,TRABEA GmbH Training - Beratung- Ausbildung,
MB HOLDING. BIRKERØD ApS,MB HOLDING. BIRKERØD,ApS
CRACKER JAXX LTD,CRACKER JAXX,LTD
FLEMMEN HOLDING AS,FLEMMEN HOLDING,AS
Mathias Jensen Holding ApS,Mathias Jensen Holding,ApS
T.M.J HOLDING AS,T.M.J HOLDING,AS
LMS Invest ApS,LMS Invest,ApS
Cheng GmbH,Cheng,GmbH
Bakke Invest ApS,Bakke Invest,ApS
Finne Invest ApS,Finne Invest,ApS
HHU 259 HOLDING AS,HHU 259 HOLDING,AS
MAFAA INVEST AS,MAFAA INVEST,AS
Andelsboligforeningen Søparken afdeling 4,Andelsboligforeningen Søparken afdeling 4,
MCS INVEST ApS,MCS INVEST,ApS
PCB Invest A/S,PCB Invest A/S,
AKSHAR CAPITAL LIMITED,AKSHAR CAPITAL,LIMITED
AANDAL-VANGER INVEST AS,AANDAL-VANGER INVEST,AS
Profital Ekonomi AB,Profital Ekonomi,AB
HARAF HOLDING ApS,HARAF HOLDING,ApS
MP-CONSULTING ApS,MP-CONSULTING,ApS
Lernholm AB,Lernholm,AB
OCR INVEST AS,OCR INVEST,AS
GRUDE DRILLING AS,GRUDE DRILLING,AS
Virkelyst Henne Holding ApS,Virkelyst Henne Holding,ApS
HEPE MAAN Holding ApS,HEPE MAAN Holding,ApS
A&R Elite ApS,A&R Elite,ApS
Frank Bisgaard Hansen Holding ApS,Frank Bisgaard Hansen Holding,ApS
ST IA LIMITED,ST IA,LIMITED
LIER BILEIENDOM AS,LIER BILEIENDOM,AS
Skåre Byggtjänst Holding AB,Skåre Byggtjänst Holding,AB
ULTRA PROPERTY SERVICES LTD,ULTRA PROPERTY SERVICES,LTD
MATHO AS,MATHO,AS
NOEA AS,NOEA,AS
DANSIM HOLDING ApS,DANSIM HOLDING,ApS
FOSS JENSEN HOLDING ApS,FOSS JENSEN HOLDING,ApS
GMPVC Opportunities I GmbH & Co. KG,GMPVC Opportunities I GmbH & Co,KG
TL Holding Brædstrup ApS,TL Holding Brædstrup,ApS
Elephant Invest GmbH,Elephant Invest,GmbH
HAVENS DANMARK ApS,HAVENS DANMARK,ApS
EEF INVEST AS,EEF INVEST,AS
"Foreningen Spejderhytten Angland, Hedevej 18, 7600 Struer","Foreningen Spejderhytten Angland, Hedevej 18, 7600 Struer",
AUNSBJERG TRADING ApS,AUNSBJERG TRADING,ApS
DC Investment Partners ApS,DC Investment Partners,ApS
MFDIEMER-HOLDING ApS,MFDIEMER-HOLDING,ApS
Greve & Solvang Invest ApS,Greve & Solvang Invest,ApS
Konsultkusten AB,Konsultkusten,AB
HM3.VICA ApS,HM3.VICA,ApS
JBT Holding ApS,JBT Holding,ApS
Philip Svanberg AB,Philip Svanberg,AB
Danmarks Fysik- og Kemilærerforening,Danmarks Fysik- og Kemilærerforening,
ASPESTRAND AS,ASPESTRAND,AS
AMUNDSEN DATA AS,AMUNDSEN DATA,AS
ABSKO LIMITED,ABSKO,LIMITED
JS Jensen Holding ApS,JS Jensen Holding,ApS
Odenbulten Consulting AB,Odenbulten Consulting,AB
zwit GmbH,zwit,GmbH
Ingenieurbüro Kemp GmbH,Ingenieurbüro Kemp,GmbH
Glud Hovborg Holding ApS,Glud Hovborg Holding,ApS
SOIB Holding ApS,SOIB Holding,ApS
LP BOGENSE ApS,LP BOGENSE,ApS
Utca Holding ApS,Utca Holding,ApS
DS HOLDING ApS,DS HOLDING,ApS
Højsgaard Økologi ApS,Højsgaard Økologi,ApS
VejenEngsø Holding ApS,VejenEngsø Holding,ApS
HELSTI INVEST AS,HELSTI INVEST,AS
Holdingselskabet BOG af 1/10 2021 ApS,Holdingselskabet BOG af 1/10 2021,ApS
Alex Toftgaard Nielsen Holding ApS,Alex Toftgaard Nielsen Holding,ApS
KVE 744 HOLDING AS,KVE 744 HOLDING,AS
NFR Invest ApS,NFR Invest,ApS
Mary Mudd (deceased) Will Trust,Mary Mudd (deceased) Will Trust,
TØMRER TROND AS,TØMRER TROND,AS
D.Lundborg Holding AB,D.Lundborg Holding,AB
PETER BÆK HOLDING ApS,PETER BÆK HOLDING,ApS
MW Consulting ApS,MW Consulting,ApS
JLW Holding ApS,JLW Holding,ApS
Lima21 ApS,Lima21,ApS
CB HoldCo ApS,CB HoldCo,ApS
Restaurationsselskabet af 1. november 2018 ApS,Restaurationsselskabet af 1. november 2018,ApS
Fratelli Holding ApS,Fratelli Holding,ApS
JW 240 HOLDING AS,JW 240 HOLDING,AS
NME21 Holding ApS,NME21 Holding,ApS
ANDERSGARDEN AS,ANDERSGARDEN,AS
Sletten Bådeklub,Sletten Bådeklub,
GHG 324 HOLDING AS,GHG 324 HOLDING,AS
BEST Project ApS,BEST Project,ApS
ØRNE FINANS ApS,ØRNE FINANS,ApS
Henrik Kirk Boysen Holding ApS,Henrik Kirk Boysen Holding,ApS
MDR Capital GmbH,MDR Capital,GmbH
Placed Holding ApS,Placed Holding,ApS
War Chest Holding ApS,War Chest Holding,ApS
Servettkalkyl AB,Servettkalkyl,AB
KEW 588 HOLDING AS,KEW 588 HOLDING,AS
LARS DYRVED HOLDING ApS,LARS DYRVED HOLDING,ApS
NA-JO AS,NA-JO,AS
EJENDOMSSELSKABET OTTO ApS.,EJENDOMSSELSKABET OTTO,ApS.
HABA INVEST ApS,HABA INVEST,ApS
ECCO PRINT A/S,ECCO PRINT A/S,
RIBA Invest ApS,RIBA Invest,ApS
Hold Com ApS,Hold Com,ApS
Anliviti AB,Anliviti,AB
Vanitas Vermögensverwaltungs KG,Vanitas Vermögensverwaltungs,KG
KARLSRUD HOLDING AS,KARLSRUD HOLDING,AS
ANTENNA RIGGING SERVICES LIMITED,ANTENNA RIGGING SERVICES,LIMITED
SOLSETH AS,SOLSETH,AS
BJN Ejendomme ApS,BJN Ejendomme,ApS
IVEST EIGEDOM AS,IVEST EIGEDOM,AS
T. Holding ApS,T. Holding,ApS
ALVINUS INVEST AS,ALVINUS INVEST,AS
Wilhelm von Essen AB,Wilhelm von Essen,AB
ASVIRA INVEST ApS,ASVIRA INVEST,ApS
HEVA HOLDING ApS,HEVA HOLDING,ApS
THE 055 HOLDING AS,THE 055 HOLDING,AS
PARK INVEST ApS,PARK INVEST,ApS
SKOG COMMUNICATIONS AS,SKOG COMMUNICATIONS,AS
Hallas Kiilerich ApS,Hallas Kiilerich,ApS
VIBEKE HELENE HOLDING AS,VIBEKE HELENE HOLDING,AS
Kynde Finans ApS,Kynde Finans,ApS
C.K. Holding 2023 ApS,C.K. Holding 2023,ApS
Vilda Bryggeri AB,Vilda Bryggeri,AB
EU 963 HOLDING AS,EU 963 HOLDING,AS
Haugsted Kirkegaard Holding ApS,Haugsted Kirkegaard Holding,ApS
FRAMSIA HOLDING AS,FRAMSIA HOLDING,AS
COHERE Safe Invest ApS,COHERE Safe Invest,ApS
HCH 635 HOLDING AS,HCH 635 HOLDING,AS
LEA Consult ApS,LEA Consult,ApS
Mårs Snickeri AB,Mårs Snickeri,AB
TAIVO INVEST AS,TAIVO INVEST,AS
MIKA-INVEST AS,MIKA-INVEST,AS
T. Grønkjær ApS,T. Grønkjær,ApS
RAWAY HOLDING AS,RAWAY HOLDING,AS
Nørager Holding af 2015 ApS,Nørager Holding af 2015,ApS
ANINA INVEST AS,ANINA INVEST,AS
Oscar Toftdal Lund Holding ApS,Oscar Toftdal Lund Holding,ApS
SST Cabinets Holding ApS,SST Cabinets Holding,ApS
I/O Invest AB,I/O Invest,AB
Stibbes Spårservice AB,Stibbes Spårservice,AB
International Church of Copenhagen,International Church of Copenhagen,
RICA ØRNEN AS,RICA ØRNEN,AS
FORLAGET PRESSTO ApS,FORLAGET PRESSTO,ApS
HORNSYLD SMEDE- OG MASKINVÆRKSTED ApS,HORNSYLD SMEDE- OG MASKINVÆRKSTED,ApS
LIISE 057 HOLDING AS,LIISE 057 HOLDING,AS
Alexander P2 Holding ApS,Alexander P2 Holding,ApS
Mortex Holding ApS,Mortex Holding,ApS
WIDTH HOLDING AS,WIDTH HOLDING,AS
SRU 093 HOLDING AS,SRU 093 HOLDING,AS
JAN R. BJØRNSKOV HOLDING ApS,JAN R. BJØRNSKOV HOLDING,ApS
Magnus Elwin utveckling AB,Magnus Elwin utveckling,AB
Halloum Holding ApS,Halloum Holding,ApS
White Horse International GmbH,White Horse International,GmbH
Find Hjuler ApS,Find Hjuler,ApS
Dan Henriksson AB,Dan Henriksson,AB
MRI 697 HOLDING AS,MRI 697 HOLDING,AS
C.S Holding ApS,C.S Holding,ApS
OneTech Holding ApS,OneTech Holding,ApS
JBDK Holding ApS,JBDK Holding,ApS
TREBOHUS EIGEDOM AS,TREBOHUS EIGEDOM,AS
IOV 884 HOLDING AS,IOV 884 HOLDING,AS
Blue Room Production ApS,Blue Room Production,ApS
X GAS AS,X GAS,AS
Niklas Istenes Holding AB,Niklas Istenes Holding,AB
Friis FIRE ApS,Friis FIRE,ApS
M1 INVEST AS,M1 INVEST,AS
Sjötullen AB,Sjötullen,AB
Lars Mams Holding ApS,Lars Mams Holding,ApS
Fjerritslevgården,Fjerritslevgården,
Sparrholm Revision AB,Sparrholm Revision,AB
Fælles Holding ApS,Fælles Holding,ApS
NOY AS,NOY,AS
HAARBY BRUGSFORENING,HAARBY BRUGSFORENING,
ELFIGO HOLDING ApS,ELFIGO HOLDING,ApS
RG FINANS AS,RG FINANS,AS
PE FINANS ApS,PE FINANS,ApS
AOF Center Sydjylland,AOF Center Sydjylland,
INGSTRUP FJERNVARME ANDELSSELSKAB,INGSTRUP FJERNVARME,ANDELSSELSKAB
PJ Holding 2020 ApS,PJ Holding 2020,ApS
DS. Meldgaard ApS,DS. Meldgaard,ApS
Advokatfirmaet Nicolai Giødesen,Advokatfirmaet Nicolai Giødesen,
LOHA HOLDING AALBORG ApS,LOHA HOLDING AALBORG,ApS
SKATEN HOLDING AS,SKATEN HOLDING,AS
1303 EIGEDOM AS,1303 EIGEDOM,AS
MARK TEMPLER & COMPANY LIMITED,MARK TEMPLER & COMPANY,LIMITED
HAHAU 748 HOLDING AS,HAHAU 748 HOLDING,AS
Berges Elektro A/S,Berges Elektro A/S,
BERGA INVEST AS,BERGA INVEST,AS
C Mert Holding ApS,C Mert Holding,ApS
ACG Andersson Consulting Group AB,ACG Andersson Consulting Group,AB
Rohde Holding GmbH,Rohde Holding,GmbH
HØWBO HOLDING ApS,HØWBO HOLDING,ApS
The Universe ApS,The Universe,ApS
Verbindung der Welten,Verbindung der Welten,
JS Holding 2022 ApS,JS Holding 2022,ApS
Easy Lean AB,Easy Lean,AB
Møller Invest Horsens ApS,Møller Invest Horsens,ApS
PRO HVIDOVRE HOLDING A/S,PRO HVIDOVRE HOLDING A/S,
"TP Ejendomme, Ry A/S","TP Ejendomme, Ry A/S",
Agroservice GmbH Halberstadt,Agroservice GmbH Halberstadt,
Remanenz Invest GmbH,Remanenz Invest,GmbH
Axelsson Bygg i Tranås AB,Axelsson Bygg i Tranås,AB
Tandlæge Carsten Juul Kristensen ApS,Tandlæge Carsten Juul Kristensen,ApS
NALPATAD AS,NALPATAD,AS
MISTY LAW LIMITED,MISTY LAW,LIMITED
LARS NØRGAARD - INVEST ApS,LARS NØRGAARD - INVEST,ApS
THFOR 119 HOLDING AS,THFOR 119 HOLDING,AS
"Speciallæge, ph.d. Anders Bak-Christensen","Speciallæge, ph.d. Anders Bak-Christensen",
TRUEMARKETVALUE ApS,TRUEMARKETVALUE,ApS
PernilleSev Holding ApS,PernilleSev Holding,ApS
E&T Mankowitz Holding AB,E&T Mankowitz Holding,AB
B.C. EMBALLAGE A/S,B.C. EMBALLAGE A/S,
GAID AS,GAID,AS
Henrik Kjersgaard ApS,Henrik Kjersgaard,ApS
AB Bruun Holding ApS,AB Bruun Holding,ApS
Thor Consult V/Stig Flemming Olsen,Thor Consult V/Stig Flemming Olsen,
Ostronpallen AB,Ostronpallen,AB
TIMESAVER ApS,TIMESAVER,ApS
Humleballegaard I/S,Humleballegaard I/S,
Schnepper Vermögensverwaltung GmbH,Schnepper Vermögensverwaltung,GmbH
Greenbird Holding ApS,Greenbird Holding,ApS
DDS Horse Division,DDS Horse Division,
Wadt Kongstad Holding ApS,Wadt Kongstad Holding,ApS
Utholm Wind GmbH & Co KG,Utholm Wind GmbH &,Co KG
AMBER MANAGEMENT LIMITED,AMBER MANAGEMENT,LIMITED
FLEMMING BØJGAARD FRANDSEN HOLDING ApS,FLEMMING BØJGAARD FRANDSEN HOLDING,ApS
DANK I HALDEN AS,DANK I HALDEN,AS
MA - Invest ApS,MA - Invest,ApS
"KARUP MØBLER, VIBORG A/S","KARUP MØBLER, VIBORG A/S",
"MAX JENSEN, HEDENSTED ApS","MAX JENSEN, HEDENSTED",ApS
SUNNFJORD VEKST AS,SUNNFJORD VEKST,AS
K/S SAINTE MAXIME III,K/S SAINTE MAXIME III,
IJAMA AS,IJAMA,AS
LARS OLSEN HOLDING REGISTRERET REVISIONSANPARTSSELSKAB,LARS OLSEN HOLDING REGISTRERET REVISIONSANPARTSSELSKAB,
MARKSBURY ENERGY CENTRE LIMITED,MARKSBURY ENERGY CENTRE,LIMITED
ROSEBERRY NEWHOUSE LTD,ROSEBERRY NEWHOUSE,LTD
BEGONIA INVEST AS,BEGONIA INVEST,AS
NITZIRK AS,NITZIRK,AS
AWJ HOLDING ApS,AWJ HOLDING,ApS
HALSET ENTREPRENØRSERVICE AS,HALSET ENTREPRENØRSERVICE,AS
Are Holding AB,Are Holding,AB
D&W Holding GmbH,D&W Holding,GmbH
Leris AB,Leris,AB
Nordic Hoejby ApS,Nordic Hoejby,ApS
Infomanagement Konsult Sverige AB,Infomanagement Konsult Sverige,AB
SICTRA AS,SICTRA,AS
Solutionis AB,Solutionis,AB
LEAD FIFTY LTD,LEAD FIFTY,LTD
Bürgerstiftung für Quedlinburg,Bürgerstiftung für Quedlinburg,
Agicon ApS,Agicon,ApS
JMF Europe AB,JMF Europe,AB
MJVA HOLDING AS,MJVA HOLDING,AS
KAREGG 230 HOLDING AS,KAREGG 230 HOLDING,AS
LIANE & ERIK JOHANSEN,LIANE & ERIK JOHANSEN,
ARHOJ HOLDING ApS,ARHOJ HOLDING,ApS
Unified Investors ApS,Unified Investors,ApS
Sankt Johannes Instruktionslogen Asnesia,Sankt Johannes Instruktionslogen Asnesia,
LMC af 27. april 2021 ApS,LMC af 27. april 2021,ApS
BJERRING BONDESEN INVEST ApS,BJERRING BONDESEN INVEST,ApS
MADONNA HOLDING AS,MADONNA HOLDING,AS
Latolu Holding ApS,Latolu Holding,ApS
Dr. Benzing Immobilien GmbH,Dr. Benzing Immobilien,GmbH
SUPERFUNKYFUTURE AB,SUPERFUNKYFUTURE,AB
DB Holding Gabøl ApS,DB Holding Gabøl,ApS
ABH 1962 AS,ABH 1962,AS
L,L,
JIPU Electric AB,JIPU Electric,AB
ÖDAB i Nissafors AB,ÖDAB i Nissafors,AB
Bindeballe Holding A/S,Bindeballe Holding A/S,
Bagger Sørensen Consulting ApS,Bagger Sørensen Consulting,ApS
ERLING JENSEN HOLDING ApS,ERLING JENSEN HOLDING,ApS
AFECO AS,AFECO,AS
Daniels Epic Holdings ApS,Daniels Epic Holdings,ApS
TUE BECK ApS,TUE BECK,ApS
Rasmus Sjødahl Holding ApS,Rasmus Sjødahl Holding,ApS
WB 580 HOLDING AS,WB 580 HOLDING,AS
Kurt Loklindt Bolding,Kurt Loklindt Bolding,
EAN Konsult AB,EAN Konsult,AB
Rødekro Blomster,Rødekro Blomster,
Lauther Holding GmbH,Lauther Holding,GmbH
R-C HOLDING AS,R-C HOLDING,AS
CAPROCK AS,CAPROCK,AS
"AHC Holding, Næstved A/S","AHC Holding, Næstved A/S",
BERGGREEN HOLDING ApS,BERGGREEN HOLDING,ApS
Beenfeldt Holding ApS,Beenfeldt Holding,ApS
Ostepops Holding ApS,Ostepops Holding,ApS
Remixed Nature Volume I A/S,Remixed Nature Volume I A/S,
SI-NA Holding ApS,SI-NA Holding,ApS
Expomobil AB,Expomobil,AB
LKAN ApS,LKAN,ApS
EIRO INVEST AS,EIRO INVEST,AS
Trier Gaarde ApS,Trier Gaarde,ApS
Lundes Livs Aktiebolag,Lundes Livs,Aktiebolag
EHP FINANS ApS,EHP FINANS,ApS
TT 59 ApS,TT 59,ApS
CAMEN 435 HOLDING AS,CAMEN 435 HOLDING,AS
TG Holding Vinderup ApS,TG Holding Vinderup,ApS
CHILDREN IN CRISIS,CHILDREN IN CRISIS,
DBA ADVISORS LIMITED,DBA ADVISORS,LIMITED
A. Prima Holding ApS,A. Prima Holding,ApS
Kamilla Rask Nøhr Holding ApS,Kamilla Rask Nøhr Holding,ApS
LEGATUS TRADING LTD,LEGATUS TRADING,LTD
Chainbanking ApS,Chainbanking,ApS
TPV HOLDING AS,TPV HOLDING,AS
PKAA INVEST AS,PKAA INVEST,AS
TALSNES HOLDING AS,TALSNES HOLDING,AS
MR 3 Invest A/S,MR 3 Invest A/S,
EALING GASTROSURGERY LIMITED,EALING GASTROSURGERY,LIMITED
Concept Store Sweden AB,Concept Store Sweden,AB
Heinrich Wohn- & Hausbau GmbH,Heinrich Wohn- & Hausbau,GmbH
DEN SELVEJENDE INSTITUTION HÅNDVÆRKERHUSET,DEN SELVEJENDE INSTITUTION HÅNDVÆRKERHUSET,
LYSDAHL HORSENS HOLDING ApS,LYSDAHL HORSENS HOLDING,ApS
SKP A/S,SKP A/S,
SON 087 HOLDING AS,SON 087 HOLDING,AS
N-MANAGEMENT ApS,N-MANAGEMENT,ApS
C.MINDEGAARD HOLDING ApS,C.MINDEGAARD HOLDING,ApS
DigitalMassa AB,DigitalMassa,AB
Woolwear ApS,Woolwear,ApS
Techcr AB,Techcr,AB
AVLSKARL GALLERY ApS,AVLSKARL GALLERY,ApS
Juhl Invest ApS,Juhl Invest,ApS
Jens Krogen Holding ApS,Jens Krogen Holding,ApS
MILANO HOLDING ApS,MILANO HOLDING,ApS
HANDELSLAGET EIGEDOM AS,HANDELSLAGET EIGEDOM,AS
OSCAR RØRHUUS AS,OSCAR RØRHUUS,AS
FROBY 827 HOLDING AS,FROBY 827 HOLDING,AS
COPA CAPITAL,COPA CAPITAL,
Vema Chartering ApS,Vema Chartering,ApS
Kuhn + Kollegen Kapital GmbH,Kuhn + Kollegen Kapital,GmbH
TOUCH HOLDING AS,TOUCH HOLDING,AS
HANDELAND HYDRAULIKK SERVICE,HANDELAND HYDRAULIKK SERVICE,
Sparekassen Hadsund,Sparekassen Hadsund,
GISS HOLDING AS,GISS HOLDING,AS
TRBRA 475 HOLDING AS,TRBRA 475 HOLDING,AS
HANDELSKOMPAGNIET HENRIK STEEN A/S,HANDELSKOMPAGNIET HENRIK STEEN A/S,
KONTEK ApS,KONTEK,ApS
RKM Kakel AB,RKM Kakel,AB
P. CONRADSEN SKIBSPROVIANTERING ApS,P. CONRADSEN SKIBSPROVIANTERING,ApS
BOAS Larsen Holding ApS,BOAS Larsen Holding,ApS
Michael Lindahl Holding ApS,Michael Lindahl Holding,ApS
Gefle Utvecklingspartner AB,Gefle Utvecklingspartner,AB
Holsteinborg Gods v/Christopher Holstein,Holsteinborg Gods v/Christopher Holstein,
Dablo AB,Dablo,AB
GALAPAGOS CONSERVATION TRUST,GALAPAGOS CONSERVATION TRUST,
Dragsbæk K/S,Dragsbæk K/S,
MERANSØ INVEST ApS,MERANSØ INVEST,ApS
Bora Holding II ApS,Bora Holding II,ApS
UGGE HOLDING ApS,UGGE HOLDING,ApS
ARGMA 790 HOLDING AS,ARGMA 790 HOLDING,AS
APPOLLO IT AS,APPOLLO IT,AS
MAURSET EIGEDOM AS,MAURSET EIGEDOM,AS
ANLYWI INVEST ApS,ANLYWI INVEST,ApS
OLE NONBYE A/S,OLE NONBYE A/S,
Thingstrup Erhvervspsykologi,Thingstrup Erhvervspsykologi,
Jænnild ApS,Jænnild,ApS
Tommy Østergaard Holding ApS,Tommy Østergaard Holding,ApS
Merkur Fonden,Merkur Fonden,
JCB AF 17.12.2003 HOLDING ApS,JCB AF 17.12.2003 HOLDING,ApS
SCANBIT A/S,SCANBIT A/S,
KENNIE KJELDSEN HOLDING ApS,KENNIE KJELDSEN HOLDING,ApS
"Triple A Holding, Aalborg ApS","Triple A Holding, Aalborg",ApS
Scheffler MMXXII Familienstiftung,Scheffler MMXXII Familienstiftung,
ABORA GmbH,ABORA,GmbH
COBBOR ONE APS,COBBOR ONE,APS
KURT L. SCHMIDT HOLDING ApS,KURT L. SCHMIDT HOLDING,ApS
Zanity IT ApS,Zanity IT,ApS
EIENDOMSSELSKAPET PARKVEIEN AS,EIENDOMSSELSKAPET PARKVEIEN,AS
IDRETTSLAGET BRAATT,IDRETTSLAGET BRAATT,
PHM 14 ApS,PHM 14,ApS
ES accounting AB,ES accounting,AB
Bjørnemosegaard Mink,Bjørnemosegaard Mink,
FOXMOOR HOLDING ApS,FOXMOOR HOLDING,ApS
